""	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"B1"	"B10"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"C1"	"C2"	"C3"	"C4"	"C5"	"D1"	"D2"	"D3"	"D4"	"D5"	"E1"	"E2"	"E3"	"E4"	"E5"	"F1"	"F2"	"F3"	"F4"	"F5"	"G1"	"G2"	"G3"	"G4"	"G5"
"A0A060HEI4"	20023000	20569000	19814000	14581000	18018000	14932000	16663000	19293000	16622000	0	25298000	0	12096000	0	16181000	1.9e+07	19449000	13863000	23439000	16469000	15472000	18979000	10919000	18636000	15345000	17744000	13768000	24251000	17772000	24433000	24668000	23313000	22950000	23516000	18829000	18025000	16369000	14694000	10982000	17320000	14150000	18059000	17901000	17201000
"A0A060HEI9"	0	0	0	0	0	0	0	0	0	0	0	0	5742000	12494000	7708200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9707900	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HEJ4"	8510500	7065700	10439000	10592000	8406100	7218900	9237300	0	6649900	0	6617400	14216000	0	0	11351000	7863300	9143200	9382000	8081800	12187000	8609500	8604200	7294300	9796200	8126700	8828300	7398500	7549400	7644700	12103000	12865000	12163000	13028000	12582000	10814000	13886000	10532000	10197000	14576000	9385600	7429400	8064500	8964500	6760200
"A0A060HEK9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582360	0	0	0
"A0A060HEM0"	5896900	0	5295300	5511900	0	6583300	6309600	7049600	5504000	0	0	7239900	0	0	0	0	0	5468300	0	0	0	0	4494700	6284800	5570900	0	0	0	0	0	8937300	11470000	10918000	11515000	0	5413300	5729800	6613300	0	0	6129600	5354600	5615700	0
"A0A060HEN9"	13789000	9411300	10542000	9797100	10639000	14198000	13600000	14098000	13109000	0	0	0	0	0	0	8523000	11477000	0	0	14017000	8905300	12329000	12135000	16553000	13744000	13344000	14269000	16344000	10680000	9021800	8042000	0	0	0	12340000	9368000	14700000	9308400	0	19587000	11472000	13169000	11328000	11892000
"A0A060HER6"	22354000	0	19125000	19824000	18912000	16598000	17272000	14295000	18189000	25553000	18678000	25295000	21527000	21806000	26833000	24417000	16872000	17017000	16942000	20280000	18998000	18884000	16887000	15893000	15841000	17832000	20110000	18347000	15355000	23603000	21870000	22463000	16853000	21050000	21721000	22253000	18089000	21417000	18911000	19300000	17668000	15598000	10491000	20024000
"A0A060HET4"	0	0	0	0	0	0	0	0	0	48206000	0	56511000	0	0	0	25700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A0A060HEV5"	0	0	0	0	0	0	0	0	6429600	0	6665500	0	0	0	0	0	0	0	0	0	0	0	6469400	0	0	0	0	0	0	0	0	0	5325700	5212700	7924700	5700100	0	0	0	0	0	0	0	0
"A0A060HEX2"	16507000	18341000	18267000	19301000	19958000	14696000	15594000	16474000	17658000	0	17246000	0	0	0	0	9872600	17420000	0	11852000	22023000	20293000	18704000	15803000	19880000	18493000	18216000	16536000	14065000	15922000	0	0	0	0	14153000	13875000	14010000	14458000	16932000	13581000	23358000	18117000	19800000	17460000	15500000
